cust_id,education,occupation,household_size,yrs_residence,affinity_card,bulk_pack_diskettes,flat_panel_monitor,home_theater_package,bookkeeping_application,printer_supplies,y_box_games,os_doc_set_kanji,comments
Bach.,Prof.,2,6,0,1,1,1,1,1,0,0,Shopping at your store is a hassle. I rarely shop there and usually forget to bring your new loyalty card and hence never get the items at the sale price.  Can a store manager look up my account on-line?,                       
HS-grad,Crafts,2,5,0,1,1,1,1,1,0,0,"Thank you, But please remove my name from your list.",                                                                                                                                                                           
Bach.,Protec.,3,4,0,0,0,1,1,1,0,0,I shop your store a lot.  I love your weekly specials.,                                                                                                                                                                        
10th,Other,1,1,0,1,1,0,0,1,1,0,Affinity card is a great idea. But your store is still too expensive. I am tired of your lousy junk mail.,                                                                                                                          
HS-grad,Crafts,2,5,0,0,0,1,1,1,0,0,"The more times that I shop at your store, the more times I am impressed.  Don't change anything",                                                                                                                                
HS-grad,Handler,6-8,2,0,1,1,0,1,1,1,0,Thanks a lot for my new affinity card. I love the discounts and have since started shopping at your store for everything.,                                                                                                   
HS-grad,Crafts,3,6,0,0,0,1,1,1,0,0,,                                                                                                                                                                                                                               
HS-grad,Prof.,3,6,0,1,1,1,1,1,0,0,Great program.  Love the discount. Signed happy customer.,                                                                                                                                                                       
HS-grad,Crafts,3,3,1,0,0,0,1,1,1,0,Thank you! But I am very unhappy with all the junk mail you keep sending.,                                                                                                                                                      
Assoc-V,Cleric.,3,3,0,0,0,0,1,1,1,0,Don't send me any more promotions.  I get too much lousy junk mail already,                                                                                                                                                    
HS-grad,Sales,3,2,0,1,1,0,1,1,1,0,I shop your store a lot.  I love your weekly specials.,                                                                                                                                                                          
Bach.,TechSup,2,4,0,0,0,1,1,1,0,0,"A great program but I have to complain just a bit. Why do you need to know how many children I have, where I shop, etc.?  Give us a discount for shopping at your store, but don't ask too many personal questions.",           
HS-grad,Crafts,3,7,0,0,0,1,1,1,0,0,"Thanks but even with your discounts, your products are too expensive. Sorry.",                                                                                                                                                   
HS-grad,Machine,3,4,0,1,1,1,1,1,0,0,"Thank you, But please remove my name from your list.",                                                                                                                                                                          
HS-grad,Cleric.,6-8,1,0,0,0,0,1,1,1,0,I love shopping with my Affinity Card! Thank you. I used it to purchase a new flat panel monitor. It is amazing. Thank you again!,                                                                                           
9th,House-s,4-5,2,0,1,1,1,0,1,0,0,"Dear store manager, please do not send me any more Affinity cards. I do not shop at your store very often and I feel that your new card imposes an invasion on my privacy.",                                                      
Bach.,Exec.,2,5,1,1,1,1,1,1,0,0,"Thanks but even with your discounts, your products are too expensive. Sorry.",                                                                                                                                                    
Bach.,Machine,3,4,0,1,1,0,1,1,0,0,I love shopping with my Affinity Card! Thank you. I used it to purchase a new flat panel monitor. It is amazing. Thank you again!,                                                                                             
Assoc-A,Transp.,3,6,0,1,0,1,1,1,0,0,How much would it cost to upgrade my computer to the latest model you advertised this week?,                                                                                                                                   
HS-grad,Exec.,1,3,0,0,0,0,1,1,0,0,How much would it cost to upgrade my computer to the latest model you advertised this week?,                                                                                                                                     
Bach.,Sales,3,4,0,1,1,0,1,1,0,0,Thanks a lot for my new affinity card. I love the discounts and have since started shopping at your store for everything.,                                                                                                       
Bach.,Sales,3,5,0,0,0,1,1,1,0,0,I purchased a new computer from your store recently and then received the new discount membership card.  Could I speak with a store manager about getting discounts for my past purchases?,                                      
Bach.,Crafts,2,4,0,1,1,1,1,1,0,0,Thanks a lot for my new affinity card. I love the discounts and have since started shopping at your store for everything.,                                                                                                      
HS-grad,Handler,9+,5,0,1,0,1,1,1,0,0,Shopping at your store is a hassle. I rarely shop there and usually forget to bring your new loyalty card and hence never get the items at the sale price.  Can a store manager look up my account on-line?,                  
Bach.,Sales,3,3,0,1,1,1,1,1,0,0,"I used to shop at your store, but have stopped now. I tried to return some electronic items and your store manager was a pain to deal with.",                                                                                     
HS-grad,Crafts,3,3,0,1,1,0,1,1,0,0,,                                                                                                                                                                                                                               
Bach.,Sales,2,3,0,0,0,0,1,1,1,0,I just purchased a computer from your store last month.  Why didn't you offer this discount then?,                                                                                                                                 
HS-grad,Cleric.,2,3,0,0,0,0,1,1,1,0,I purchased a new computer from your store recently and then received the new discount membership card.  Could I speak with a store manager about getting discounts for my past purchases?,                                    
Assoc-A,Crafts,2,2,0,1,1,0,1,1,0,0,Thanks a lot for my new affinity card. I love the discounts and have since started shopping at your store for everything.,                                                                                                      
HS-grad,Farming,2,4,0,0,0,1,1,1,0,0,I purchased a new computer from your store recently and then received the new discount membership card.  Could I speak with a store manager about getting discounts for my past purchases?,                                    
Bach.,Exec.,3,5,0,0,0,1,1,1,0,0,Can I use my Affinity card to buy bulk purchases and ship them to my mother in Arizona?,                                                                                                                                         
Bach.,Cleric.,3,3,0,1,1,0,1,1,0,0,"Thanks but even with your discounts, your products are too expensive. Sorry.",                                                                                                                                                  
11th,Other,1,0,0,1,1,0,0,1,1,0,Thanks a lot for my new affinity card. I love the discounts and have since started shopping at your store for everything.,                                                                                                          
HS-grad,Crafts,3,5,0,1,1,1,1,1,0,0,I love the discounts. But I mostly end upbuying  things I do not need.,                                                                                                                                                         
7th-8th,Crafts,3,4,0,1,1,1,0,1,0,0,Can I use my Affinity card to buy bulk purchases and ship them to my mother in Arizona?,                                                                                                                                        
HS-grad,Other,4-5,5,0,1,1,1,1,1,0,0,I purchased the new mouse pads and love them. I also purchased one for my sister and one for my brother.,                                                                                                                      
Bach.,?,2,2,0,1,1,0,1,1,1,0,"Dear store manager, please do not send me any more Affinity cards. I do not shop at your store very often and I feel that your new card imposes an invasion on my privacy.",                                                          
10th,Sales,9+,2,0,0,0,1,0,1,0,0,The new affinity card is great. Thank you. I do  have to say that it is a hassle to remember to bring it  with me when I shop as I only shop at your store  for sale items. Could you keep my record in your computer?,            
Bach.,Other,1,1,0,1,1,0,1,1,1,0,Affinity card is a great idea. But your store is still too expensive. I am tired of your lousy junk mail.,                                                                                                                       
Assoc-A,Crafts,3,5,1,1,1,1,1,1,0,0,I wanted to write you to let you know that I've purchased several items at your store recently and have been very satisfied with my purchases. Keep up  the good work.,                                                         
Bach.,Exec.,3,5,1,0,0,0,1,1,0,0,Can I use my Affinity card to buy bulk purchases and ship them to my mother in Arizona?,                                                                                                                                           
Bach.,Other,1,1,0,1,1,0,1,1,1,0,I just purchased a computer from your store last month.  Why didn't you offer this discount then?,                                                                                                                               
Assoc-A,Sales,4-5,5,0,1,1,1,1,1,0,0,"A great program but I have to complain just a bit. Why do you need to know how many children I have, where I shop, etc.?  Give us a discount for shopping at your store, but don't ask too many personal questions.",           
Bach.,Other,1,2,0,0,0,0,1,1,1,0,Forget it. I 'm not giving you all my personal information.  I wish you'd give up and respect a customer's privacy.,                                                                                                             
HS-grad,Crafts,3,8,0,1,1,1,1,1,0,0,"I used to shop at your store, but have stopped now. I tried to return some electronic items and your store manager was a pain to deal with.",                                                                                    
7th-8th,Cleric.,1,4,0,1,1,0,0,1,1,0,I purchased a new computer from your store recently and then received the new discount membership card.  Could I speak with a store manager about getting discounts for my past purchases?,                                    
Masters,?,2,5,0,1,1,1,1,1,0,0,"Thank you, But please remove my name from your list.",                                                                                                                                                                                
12th,Crafts,2,4,0,1,1,1,0,1,0,0,The new affinity card is great. Thank you. I do  have to say that it is a hassle to remember to bring it  with me when I shop as I only shop at your store  for sale items. Could you keep my record in your computer?,            
Masters,Prof.,3,6,1,0,0,1,1,1,0,0,Shopping at your store is a hassle. I rarely shop there and usually forget to bring your new loyalty card and hence never get the items at the sale price.  Can a store manager look up my account on-line?,                     
Assoc-V,Crafts,3,5,0,1,1,1,1,1,0,0,I am not going to waste my time filling up this three page form. Lousy idea.,                                                                                                                                                   
Bach.,Sales,3,4,1,1,1,1,1,1,0,0,My sister told me about your store and I was impressed. Now I use it for all my shopping here.,                                                                                                                                    
Assoc-V,TechSup,3,6,1,0,0,1,1,1,0,0,"I purchased a new computer recently, but the manuals weren't included.  Could you ship them to me directly?",                                                                                                                   
HS-grad,Cleric.,9+,5,0,1,0,1,1,1,0,0,I purchased a new computer from your store recently and then received the new discount membership card.  Could I speak with a store manager about getting discounts for my past purchases?,                                   
Bach.,Exec.,3,9,0,1,1,1,1,1,0,0,Don't send me any more promotions.  I get too much lousy junk mail already,                                                                                                                                                      
HS-grad,Crafts,3,4,0,1,1,1,1,1,0,0,I purchased the new mouse pads and love them. I also purchased one for my sister and one for my brother.,                                                                                                                       
Assoc-V,Protec.,2,4,0,1,0,0,1,1,1,0,"Dear store manager, please do not send me any more Affinity cards. I do not shop at your store very often and I feel that your new card imposes an invasion on my privacy.",                                                    
Profsc,Prof.,4-5,3,1,1,1,1,1,1,0,0,"Even with the new 10% card, your prices are still too expensive. I am tired of your gimmicks.",                                                                                                                                  
7th-8th,Crafts,3,2,0,1,1,0,0,1,1,0,I love shopping with my Affinity Card! Thank you. I used it to purchase a new flat panel monitor. It is amazing. Thank you again!,                                                                                              
Masters,Exec.,2,5,1,1,1,1,1,1,0,0,"I don't like your new Affinity Card program.  Too little, too late.  I am very happy with your competitor's stores.",                                                                                                             
Bach.,TechSup,2,4,0,1,1,1,1,1,0,0,Can I use my Affinity card to buy bulk purchases and ship them to my mother in Arizona?,                                                                                                                                         
HS-grad,Crafts,3,7,0,0,0,1,1,1,0,0,"Thank you, But please remove my name from your list.",                                                                                                                                                                           
HS-grad,Handler,3,4,0,1,1,1,1,1,0,0,"Thanks but even with your discounts, your products are too expensive. Sorry.",                                                                                                                                                  
Bach.,TechSup,1,1,0,1,1,0,1,1,1,0,"A great program but I have to complain just a bit. Why do you need to know how many children I have, where I shop, etc.?  Give us a discount for shopping at your store, but don't ask too many personal questions.",           
10th,Other,6-8,1,0,0,0,0,0,1,1,0,I just purchased a computer from your store last month.  Why didn't you offer this discount then?,                                                                                                                                
10th,Other,2,3,0,0,0,0,0,1,0,0,Why didn't you start a program like this before? Everyone else has been offering discounts like this for years.,                                                                                                                    
HS-grad,Handler,1,5,0,1,1,1,1,1,0,0,I love the new on-line documentation.,                                                                                                                                                                                         
HS-grad,Other,4-5,4,0,1,1,1,1,1,0,0,Forget it. I 'm not giving you all my personal information.  I wish you'd give up and respect a customer's privacy.,                                                                                                           
HS-grad,Exec.,3,6,1,1,1,1,1,1,0,0,Could you send an Affinity Card to my mother in France?  Let me know and I'll send you here address.,                                                                                                                            
Bach.,Exec.,3,8,1,1,1,1,1,1,0,0,"A great idea.  Thank you!  Signed, happy in Texas",                                                                                                                                                                                 
Bach.,Cleric.,1,1,0,1,1,0,1,1,1,0,"It is a good way to attract new shoppers. After shopping at your store for more than a month, I am ready to move on though. Not enough variety",                                                                                
Assoc-V,Prof.,4-5,4,1,1,1,1,1,1,0,0,I purchased the new mouse pads and love them. I also purchased one for my sister and one for my brother.,                                                                                                                      
Assoc-V,Prof.,9+,2,0,1,1,0,1,1,0,0,Don't send me any more promotions.  I get too much lousy junk mail already,                                                                                                                                                     
Bach.,Machine,3,4,0,0,0,0,1,1,0,0,I love the discounts. But I mostly end upbuying  things I do not need.,                                                                                                                                                          
Bach.,Other,9+,3,0,0,0,0,1,1,0,0,Don't send me any more promotions.  I get too much lousy junk mail already,                                                                                                                                                     
HS-grad,Cleric.,2,3,0,1,1,0,1,1,1,0,"A great program but I have to complain just a bit. Why do you need to know how many children I have, where I shop, etc.?  Give us a discount for shopping at your store, but don't ask too many personal questions.",           
Bach.,Prof.,1,0,0,0,0,0,1,1,1,0,Great program.  Love the discount. Signed happy customer.,                                                                                                                                                                       
HS-grad,Crafts,3,5,1,1,1,1,1,1,0,0,"Even with the new 10% card, your prices are still too expensive. I am tired of your gimmicks.",                                                                                                                                  
HS-grad,Other,2,3,0,1,1,0,1,1,0,0,Don't send me any more promotions.  I get too much lousy junk mail already,                                                                                                                                                      
Bach.,Sales,2,4,0,0,0,1,1,1,0,0,Affinity card is a great idea. But your store is still too expensive. I am tired of your lousy junk mail.,                                                                                                                         
Masters,Sales,2,5,0,1,1,1,1,1,0,0,Great program.  Love the discount. Signed happy customer.,                                                                                                                                                                       
HS-grad,Sales,3,5,0,1,1,1,1,1,0,0,I purchased the new mouse pads and love them. I also purchased one for my sister and one for my brother.,                                                                                                                        
HS-grad,Crafts,3,4,0,1,0,0,1,1,0,0,"Thanks but even with your discounts, your products are too expensive. Sorry.",                                                                                                                                                   
9th,?,3,3,0,0,0,1,0,1,0,0,I am unhappy with the service at your store. Do not consider me a loyal customer just because I use your Affinity Card,                                                                                                                  
HS-grad,Transp.,3,4,1,0,0,1,1,1,0,0,Thank you! But I am very unhappy with all the junk mail you keep sending.,                                                                                                                                                     
Bach.,Other,1,0,0,1,1,0,1,1,1,0,"Affinity card makese sense only for bulk purchases. For all others, driving so far is not worth the discount. Either offer free shipping or build a store close by.",                                                             
10th,Other,1,1,0,0,0,0,0,1,1,0,I purchased a new computer from your store recently and then received the new discount membership card.  Could I speak with a store manager about getting discounts for my past purchases?,                                         
Bach.,Exec.,3,4,0,1,1,1,1,1,0,0,The new affinity card is great. Thank you. I do  have to say that it is a hassle to remember to bring it  with me when I shop as I only shop at your store  for sale items. Could you keep my record in your computer?,            
HS-grad,Exec.,3,8,1,1,1,1,1,1,0,0,I wanted to write you to let you know that I've purchased several items at your store recently and have been very satisfied with my purchases. Keep up  the good work.,                                                          
HS-grad,Cleric.,3,7,1,0,0,1,1,1,0,0,My sister told me about your store and I was impressed. Now I use it for all my shopping here.,                                                                                                                                
HS-grad,Cleric.,2,3,0,0,0,1,1,1,0,0,"Dear store manager, please do not send me any more Affinity cards. I do not shop at your store very often and I feel that your new card imposes an invasion on my privacy.",                                                    
Bach.,Exec.,2,3,0,0,0,1,1,1,0,0,Thanks a lot for my new affinity card. I love the discounts and have since started shopping at your store for everything.,                                                                                                       
Bach.,Prof.,2,4,0,1,1,1,1,1,0,0,"The more times that I shop at your store, the more times I am impressed.  Don't change anything",                                                                                                                                   
Bach.,Sales,2,6,0,1,1,0,1,1,0,0,"It is a good way to attract new shoppers. After shopping at your store for more than a month, I am ready to move on though. Not enough variety",                                                                                  
Bach.,Sales,2,5,0,1,1,1,1,1,0,0,"Thanks but even with your discounts, your products are too expensive. Sorry.",                                                                                                                                                    
Assoc-A,Crafts,3,5,1,0,0,1,1,1,0,0,Affinity card is a great idea. But your store is still too expensive. I am tired of your lousy junk mail.,                                                                                                                      
Bach.,Prof.,9+,2,0,0,0,0,1,1,1,0,I am not going to waste my time filling up this three page form. Lousy idea.,                                                                                                                                                   
HS-grad,Other,2,5,0,1,1,1,1,1,0,0,"Thanks but even with your discounts, your products are too expensive. Sorry.",                                                                                                                                                    
Bach.,Crafts,2,5,0,1,1,1,1,1,0,0,I shop your store a lot.  I love your weekly specials.,                                                                                                                                                                         
Bach.,Prof.,3,3,1,0,0,0,1,1,1,0,Thank you! But I am very unhappy with all the junk mail you keep sending.,                                                                                                                                                         
HS-grad,Crafts,3,3,0,1,1,0,1,1,1,0,I am unhappy with the service at your store. Do not consider me a loyal customer just because I use your Affinity Card,                                                                                                         
9th,Farming,2,3,0,0,0,0,0,1,0,0,I love the new on-line documentation.,                                                                                                                                                                                             
PhD,Prof.,3,4,1,1,0,1,1,1,0,0,"Thanks but even with your discounts, your products are too expensive. Sorry.",                                                                                                                                                        
HS-grad,Transp.,3,5,0,0,0,1,1,1,0,0,Shopping at your store is a hassle. I rarely shop there and usually forget to bring your new loyalty card and hence never get the items at the sale price.  Can a store manager look up my account on-line?,                   
HS-grad,Cleric.,2,5,0,0,0,1,1,1,0,0,"Affinity card makese sense only for bulk purchases. For all others, driving so far is not worth the discount. Either offer free shipping or build a store close by.",                                                           
Bach.,Exec.,2,6,0,1,1,1,1,1,0,0,"A great program but I have to complain just a bit. Why do you need to know how many children I have, where I shop, etc.?  Give us a discount for shopping at your store, but don't ask too many personal questions.",             
HS-grad,Exec.,9+,4,0,1,1,0,1,1,0,0,I am not going to waste my time filling up this three page form. Lousy idea.,                                                                                                                                                   
Bach.,Farming,9+,5,0,1,1,1,1,1,0,0,My brother uses the affinity card a lot. I think the competitor has better prices without it.,                                                                                                                                
Bach.,Handler,4-5,3,0,0,0,0,1,1,1,1,I love the new on-line documentation.,                                                                                                                                                                                       
Assoc-V,Transp.,3,4,1,0,0,0,1,1,0,0,Affinity card is a great idea. But your store is still too expensive. I am tired of your lousy junk mail.,                                                                                                                     
Masters,Other,9+,6,0,1,1,1,1,1,0,0,Don't send me any more promotions.  I get too much lousy junk mail already,                                                                                                                                                     
HS-grad,Exec.,3,4,0,1,1,1,1,1,0,0,Thanks a lot for my new affinity card. I love the discounts and have since started shopping at your store for everything.,                                                                                                       
Assoc-V,Exec.,3,5,1,1,1,1,1,1,0,0,Does this discount work if you live in Australia?I've moved and I would like to purchase a few items as gifts but want the discount.  Have you ever considered offering free shipping?,                                          
HS-grad,Sales,3,8,0,1,1,1,1,1,0,0,,                                                                                                                                                                                                                                
HS-grad,Crafts,3,5,0,0,0,1,1,1,0,0,"The more times that I shop at your store, the more times I am impressed.  Don't change anything",                                                                                                                                
Assoc-A,Prof.,2,3,0,1,0,0,1,1,1,0,Affinity card is a great idea. But your store is still too expensive. I am tired of your lousy junk mail.,                                                                                                                       
Bach.,Sales,3,3,0,1,1,0,1,1,0,0,Why didn't you start a program like this before? Everyone else has been offering discounts like this for years.,                                                                                                                   
9th,Crafts,3,3,0,1,1,0,0,1,0,0,Thanks a lot for my new affinity card. I love the discounts and have since started shopping at your store for everything.,                                                                                                          
Bach.,Cleric.,2,4,0,0,0,0,1,1,0,0,Affinity card is great. I think it is a hassle to have to remember to bring it in every time though.,                                                                                                                            
Assoc-A,TechSup,3,5,1,1,1,1,1,1,0,0,Affinity card is a great idea. But your store is still too expensive. I am tired of your lousy junk mail.,                                                                                                                     
HS-grad,Other,2,2,0,1,1,0,1,1,1,0,I love the new on-line documentation.,                                                                                                                                                                                           
Bach.,Sales,6-8,4,0,1,0,1,1,1,0,0,Can I use my Affinity card to buy bulk purchases and ship them to my mother in Arizona?,                                                                                                                                         
HS-grad,Cleric.,2,4,0,1,1,1,1,1,0,0,I love shopping with my Affinity Card! Thank you. I used it to purchase a new flat panel monitor. It is amazing. Thank you again!,                                                                                             
HS-grad,Machine,9+,5,0,1,1,1,1,1,0,0,Thanks a lot for my new affinity card. I love the discounts and have since started shopping at your store for everything.,                                                                                                    
PhD,Prof.,3,4,1,1,1,1,1,1,0,0,My brother uses the affinity card a lot. I think the competitor has better prices without it.,                                                                                                                                       
Bach.,Prof.,4-5,4,1,1,0,0,1,1,0,0,Thank you! But I am very unhappy with all the junk mail you keep sending.,                                                                                                                                                       
Bach.,Exec.,3,6,0,1,1,1,1,1,0,0,Shopping at your store is a hassle. I rarely shop there and usually forget to bring your new loyalty card and hence never get the items at the sale price.  Can a store manager look up my account on-line?,                       
Profsc,Prof.,2,6,1,1,1,1,1,1,0,0,"A great idea.  Thank you!  Signed, happy in Texas",                                                                                                                                                                                
HS-grad,Cleric.,6-8,2,0,0,0,0,1,1,1,0,Don't send me any more promotions.  I get too much lousy junk mail already,                                                                                                                                                  
Assoc-A,Prof.,3,3,1,1,1,0,1,1,0,0,My brother uses the affinity card a lot. I think the competitor has better prices without it.,                                                                                                                                   
11th,Sales,1,0,0,1,1,0,0,1,1,0,,                                                                                                                                                                                                                                   
HS-grad,Handler,1,2,0,1,1,0,1,1,1,0,,                                                                                                                                                                                                                              
Bach.,Prof.,3,1,1,1,1,1,1,1,0,0,I am not going to waste my time filling up this three page form. Lousy idea.,                                                                                                                                                      
HS-grad,Other,1,2,0,0,0,0,1,1,1,0,Great program.  Love the discount. Signed happy customer.,                                                                                                                                                                       
HS-grad,Sales,2,2,0,0,0,0,1,1,1,0,Thanks a lot for my new affinity card. I love the discounts and have since started shopping at your store for everything.,                                                                                                       
Assoc-A,Sales,3,5,0,1,1,0,1,1,0,0,The new affinity card is great. Thank you. I do  have to say that it is a hassle to remember to bring it  with me when I shop as I only shop at your store  for sale items. Could you keep my record in your computer?,          
Bach.,Exec.,3,5,1,0,0,1,1,1,0,0,I purchased the new mouse pads and love them. I also purchased one for my sister and one for my brother.,                                                                                                                        
HS-grad,Cleric.,1,2,0,0,0,0,1,1,1,0,I am not going to waste my time filling up this three page form. Lousy idea.,                                                                                                                                                  
HS-grad,Sales,1,2,0,1,1,0,1,1,1,0,Affinity card is great. I think it is a hassle to have to remember to bring it in every time though.,                                                                                                                            
HS-grad,Machine,2,6,0,1,1,1,1,1,0,0,Shopping at your store is a hassle. I rarely shop there and usually forget to bring your new loyalty card and hence never get the items at the sale price.  Can a store manager look up my account on-line?,                   
12th,Machine,9+,2,0,0,0,0,0,1,1,0,I shop your store a lot.  I love your weekly specials.,                                                                                                                                                                          
HS-grad,Handler,2,6,0,1,1,1,1,1,0,0,"Affinity card makese sense only for bulk purchases. For all others, driving so far is not worth the discount. Either offer free shipping or build a store close by.",                                                           
Masters,Exec.,3,6,1,1,0,1,1,1,0,0,My sister told me about your store and I was impressed. Now I use it for all my shopping here.,                                                                                                                                  
HS-grad,TechSup,3,5,0,0,0,1,1,1,0,0,Thanks a lot for my new affinity card. I love the discounts and have since started shopping at your store for everything.,                                                                                                     
HS-grad,Exec.,2,4,0,1,1,1,1,1,0,0,"I used to shop at your store, but have stopped now. I tried to return some electronic items and your store manager was a pain to deal with.",                                                                                     
Bach.,Exec.,4-5,1,0,1,1,0,1,1,1,0,I purchased a new computer from your store recently and then received the new discount membership card.  Could I speak with a store manager about getting discounts for my past purchases?,                                    
Bach.,TechSup,3,4,0,0,0,1,1,1,0,0,"Dear store manager, please do not send me any more Affinity cards. I do not shop at your store very often and I feel that your new card imposes an invasion on my privacy.",                                                      
Bach.,Prof.,3,4,1,1,1,1,1,1,0,0,This Affinity Card is great.I am delighted that you sent me one as I 've only shopped at your store once. I was so pleased to be included in your program that I immediately purchased a new flat panel monitor.,                  
Bach.,Farming,3,6,0,1,1,1,1,1,0,0,I love the discounts. But I mostly end upbuying  things I do not need.,                                                                                                                                                        
HS-grad,Sales,2,6,1,0,0,1,1,1,0,0,My brother uses the affinity card a lot. I think the competitor has better prices without it.,                                                                                                                                   
HS-grad,Other,9+,6,0,0,0,0,1,1,0,0,Can I use my Affinity card to buy bulk purchases and ship them to my mother in Arizona?,                                                                                                                                        
Assoc-V,TechSup,9+,4,0,0,0,1,1,1,0,0,"The more times that I shop at your store, the more times I am impressed.  Don't change anything",                                                                                                                              
Bach.,TechSup,2,5,0,1,1,1,1,1,0,0,Can I use my Affinity card to buy bulk purchases and ship them to my mother in Arizona?,                                                                                                                                         
HS-grad,TechSup,3,5,1,0,0,1,1,1,0,0,"If I forget my affinity card, can I still shop here and get the discount?",                                                                                                                                                     
HS-grad,Machine,3,5,0,0,0,1,1,1,0,0,I just purchased a computer from your store last month.  Why didn't you offer this discount then?,                                                                                                                             
HS-grad,Transp.,2,5,0,1,1,1,1,1,0,0,"It is a good way to attract new shoppers. After shopping at your store for more than a month, I am ready to move on though. Not enough variety",                                                                                
Bach.,Prof.,3,6,1,1,1,1,1,1,0,0,I purchased a new computer from your store recently and then received the new discount membership card.  Could I speak with a store manager about getting discounts for my past purchases?,                                        
Bach.,TechSup,2,4,0,1,0,1,1,1,0,0,Thanks a lot for my new affinity card. I love the discounts and have since started shopping at your store for everything.,                                                                                                       
HS-grad,Exec.,3,6,1,0,0,1,1,1,0,0,Can I apply my discount to a purchase I made last month? Excellent program.  Thanks,                                                                                                                                             
Profsc,Prof.,9+,5,0,0,0,1,1,1,0,0,I purchased a new computer from your store recently and then received the new discount membership card.  Could I speak with a store manager about getting discounts for my past purchases?,                                      
Bach.,Crafts,3,5,1,0,0,1,1,1,0,0,This Affinity Card is great.I am delighted that you sent me one as I 've only shopped at your store once. I was so pleased to be included in your program that I immediately purchased a new flat panel monitor.,               
Bach.,Sales,3,4,1,0,0,0,1,1,1,0,Can I use my Affinity card to buy bulk purchases and ship them to my mother in Arizona?,                                                                                                                                         
5th-6th,Crafts,6-8,3,0,1,1,0,0,1,0,0,My brother uses the affinity card a lot. I think the competitor has better prices without it.,                                                                                                                                
PhD,Prof.,3,4,1,1,1,1,1,1,0,0,I run a small convenience store. Any chance that I would be eligible for larger discounts if I purchase a large quantity of items (bulk purchase)?,                                                                                  
HS-grad,Farming,2,5,0,0,0,1,1,1,0,0,"A great program but I have to complain just a bit. Why do you need to know how many children I have, where I shop, etc.?  Give us a discount for shopping at your store, but don't ask too many personal questions.",           
Bach.,Crafts,3,4,0,1,1,1,1,1,0,0,"A lousy idea.  I threw your card away. If you want to know what I buy, I'll shop elsewhere.",                                                                                                                                      
Bach.,Other,1,2,0,1,1,0,1,1,1,0,I love the new on-line documentation.,                                                                                                                                                                                           
Bach.,Cleric.,4-5,4,0,1,1,1,1,1,0,0,"I used to shop at your store, but have stopped now. I tried to return some electronic items and your store manager was a pain to deal with.",                                                                                 
HS-grad,Transp.,3,3,0,1,1,0,1,1,1,0,I purchased the new mouse pads and love them. I also purchased one for my sister and one for my brother.,                                                                                                                      
HS-grad,Crafts,6-8,3,0,1,1,0,1,1,1,0,Shopping at your store is a hassle. I rarely shop there and usually forget to bring your new loyalty card and hence never get the items at the sale price.  Can a store manager look up my account on-line?,                  
9th,Crafts,3,3,0,0,0,0,0,1,1,0,Thanks a lot for my new affinity card. I love the discounts and have since started shopping at your store for everything.,                                                                                                          
Bach.,Exec.,3,7,1,0,0,1,1,1,0,0,I love it. Will never shop at other shops again!,                                                                                                                                                                                  
Bach.,Cleric.,2,3,0,1,1,0,1,1,1,0,My brother uses the affinity card a lot. I think the competitor has better prices without it.,                                                                                                                                   
Bach.,Other,9+,3,0,0,0,0,1,1,1,0,"A lousy idea.  I threw your card away. If you want to know what I buy, I'll shop elsewhere.",                                                                                                                                      
